fecha_devolucion,ticket_referencia,producto,cantidad_devuelta,monto_devolucion,motivo,reembolsado
2025-12-30,TF-10287,"Monitor LG 24""",1,13506,defecto,Si
2025-12-20,TF-10038,Auriculares Sony,2,11432,defecto,No
2025-12-13,TF-76353,Disco Duro 1TB,2,12245,Defecto,si
2025-12-27,TF-83149,Tablet Samsung,2,1269,,No
2025-12-10,TF-52237,Webcam HD,2,10507,defecto,SI
2026-01-01,TF-59930,Laptop HP,1,2037,Defecto,
2025-12-23,TF-85324,"Monitor LG 24""",1,477,,SI
2025-12-09,TF-27224,Tablet Samsung,2,4959,,No
2025-12-24,TF-85766,Webcam HD,2,12505,,
2025-12-15,TF-83224,Auriculares Sony,2,5583,defecto,
2025-12-08,TF-51821,Laptop HP,1,2550,No satisface,si
2025-12-27,TF-39156,Mouse Logitech,1,5102,No satisface,
2026-01-02,TF-51342,Disco Duro 1TB,2,5576,Defecto,SI
2026-01-02,TF-54424,Webcam HD,2,7170,No satisface,No
2025-12-20,TF-58574,Mouse Logitech,1,3185,Defecto,Si
2025-12-10,TF-56934,Tablet Samsung,1,2069,,
2025-12-11,TF-73342,Mouse Logitech,1,5714,Equivocado,Si
2025-12-27,TF-59385,Teclado Mecánico,2,7495,Defecto,
2025-12-05,TF-10082,Tablet Samsung,1,9787,defecto,No
2025-12-30,TF-51465,Auriculares Sony,1,9022,,si
2025-12-27,TF-19166,Auriculares Sony,2,2273,No satisface,Si
2025-12-27,TF-51996,"Monitor LG 24""",1,1507,,No
2025-12-31,TF-26015,Disco Duro 1TB,2,2402,Equivocado,SI
2025-12-07,TF-49365,Laptop HP,2,1167,,
2025-12-29,TF-51060,Mouse Logitech,2,4843,Defecto,Si
2026-01-01,TF-43119,Disco Duro 1TB,1,6761,No satisface,SI
2026-01-02,TF-42329,Disco Duro 1TB,2,6411,No satisface,No
2026-01-02,TF-12960,Auriculares Sony,2,12006,,
2025-12-11,TF-49537,Laptop HP,2,10466,Defecto,
2025-12-14,TF-57048,Mouse Logitech,2,10568,Equivocado,si
2025-12-25,TF-65796,Auriculares Sony,2,13641,defecto,No
2025-12-22,TF-59343,Auriculares Sony,1,13140,Equivocado,Si
2025-12-16,TF-92557,Laptop HP,1,13935,No satisface,si
2025-12-19,TF-83519,Teclado Mecánico,2,9940,,si
2025-12-17,TF-17266,Webcam HD,1,8739,No satisface,si
2025-12-29,TF-47777,Tablet Samsung,1,772,Defecto,
2025-12-26,TF-41574,"Monitor LG 24""",2,8972,Equivocado,si
2025-12-30,TF-43244,Mouse Logitech,1,3295,Defecto,No
2025-12-19,TF-50135,Webcam HD,2,8172,No satisface,No
2025-12-17,TF-61181,Mouse Logitech,2,10583,Equivocado,SI
2025-12-18,TF-39334,"Monitor LG 24""",1,5393,,Si
2025-12-22,TF-72518,Tablet Samsung,2,6788,defecto,
2025-12-24,TF-50058,Teclado Mecánico,2,8484,No satisface,
2025-12-20,TF-10089,Auriculares Sony,1,2033,Equivocado,SI
2025-12-21,TF-57433,Teclado Mecánico,2,2219,defecto,SI
2026-01-01,TF-39908,Tablet Samsung,1,9374,,Si
2025-12-28,TF-28566,Laptop HP,1,5198,No satisface,
2025-12-20,TF-51065,Disco Duro 1TB,2,9184,No satisface,si
2025-12-24,TF-58388,"Monitor LG 24""",2,3713,No satisface,SI
2025-12-28,TF-36365,Webcam HD,1,4010,Defecto,
