fecha,hora,ticket_id,sucursal,producto,cantidad,precio_unitario,vendedor,metodo_pago
2025-12-24,10:01,TF-46048,Sucursal Norte,"Monitor LG 24""",1,12266,,EFECTIVO
2025-12-05,09:05,TF-38657,Sucursal Norte,Laptop HP,3,3457,Ana M,tarjeta
2025-12-29,09:48,TF-30926,Sucursal Este,Auriculares Sony,2,2747,Ana M,Efectivo
2025-12-15,14:38,TF-44671,Sucursal Centro,Disco Duro 1TB,3,2245,,tarjeta
2025-12-22,12:45,TF-19116,Sucursal Centro,"Monitor LG 24""",2,1507,Ana M,tarjeta
2025-12-09,14:22,TF-37460,Sucursal Sur,Mouse Logitech,3,10603,Ana M,tarjeta
2026-01-02,19:44,TF-83000,Sucursal Norte,Auriculares Sony,1,3952,Juan P,Tarjeta
2026-01-02,18:56,TF-51245,Sucursal Norte,Disco Duro 1TB,2,14694,Maria G,tarjeta
2025-12-27,18:27,TF-86484,Sucursal Este,Auriculares Sony,1,2466,Juan P,Tarjeta
2025-12-24,11:50,TF-99192,Sucursal Este,Mouse Logitech,2,6452,,Efectivo
2025-12-25,20:07,TF-99353,Sucursal Sur,Auriculares Sony,1,5008,Carlos L,Tarjeta
2025-12-20,10:55,TF-91959,Sucursal Sur,"Monitor LG 24""",1,6326,,Efectivo
2025-12-23,14:31,TF-12552,Sucursal Centro,Auriculares Sony,2,4123,Juan P,EFECTIVO
2025-12-30,10:48,TF-79822,Sucursal Norte,Teclado Mecánico,3,7987,,EFECTIVO
2025-12-10,17:48,TF-36365,Sucursal Sur,Tablet Samsung,3,10847,Maria G,Tarjeta
2025-12-06,14:01,TF-87110,Sucursal Norte,"Monitor LG 24""",1,1363,Juan P,tarjeta
2025-12-06,17:15,TF-46500,Sucursal Este,"Monitor LG 24""",3,2367,Maria G,EFECTIVO
2025-12-29,15:12,TF-22363,Sucursal Centro,Tablet Samsung,2,7139,Juan P,Efectivo
2025-12-16,20:21,TF-24322,Sucursal Norte,"Monitor LG 24""",1,8986,Maria G,Efectivo
2025-12-18,17:06,TF-16630,Sucursal Centro,Mouse Logitech,1,2924,Juan P,Tarjeta
2025-12-16,09:24,TF-44760,Sucursal Este,Webcam HD,2,11612,Ana M,Tarjeta
2025-12-10,13:13,TF-17665,Sucursal Centro,Auriculares Sony,1,1021,Maria G,Efectivo
2025-12-20,10:54,TF-34356,Sucursal Centro,Mouse Logitech,3,14320,Maria G,Efectivo
2025-12-23,10:26,TF-96163,Sucursal Sur,Webcam HD,1,11172,Carlos L,EFECTIVO
2025-12-14,10:00,TF-70068,Sucursal Centro,Mouse Logitech,3,3692,Juan P,Tarjeta
2025-12-15,13:10,TF-67433,Sucursal Sur,Laptop HP,3,13587,Maria G,tarjeta
2025-12-07,10:47,TF-82512,Sucursal Norte,Webcam HD,2,10109,Carlos L,EFECTIVO
2025-12-12,09:05,TF-93136,Sucursal Este,Webcam HD,1,258,Maria G,EFECTIVO
2025-12-21,20:27,TF-83519,Sucursal Centro,Mouse Logitech,1,14668,Carlos L,Tarjeta
2025-12-17,11:02,TF-50404,Sucursal Sur,Laptop HP,2,3641,,EFECTIVO
2025-12-23,20:09,TF-41029,Sucursal Norte,Teclado Mecánico,2,606,Ana M,Tarjeta
